quicksort iter random key (time in seconds)
n       random    constant  descending A-shaped
10       0.000001  0.000001  0.000001  0.000001
50       0.000007  0.000010  0.000007  0.000007
100      0.000016  0.000033  0.000014  0.000016
500      0.000093  0.000625  0.000078  0.000078
1000     0.000203  0.002375  0.000187  0.000188
2000     0.000460  0.009380  0.000310  0.000470
4000     0.000940  0.037030  0.000780  0.000780
6000     0.001500  0.086000  0.001500  0.001600
8000     0.003100  0.146900  0.001600  0.001500
10000    0.001600  0.231200  0.003100  0.001600
