quicksort iter right key (time in seconds)
n       random    constant  descending A-shaped
10       0.000001  0.000001  0.000001  0.000001
50       0.000006  0.000009  0.000014  0.000008
100      0.000014  0.000030  0.000052  0.000025
500      0.000093  0.000594  0.001156  0.000437
1000     0.000203  0.002344  0.004578  0.001672
2000     0.000470  0.009220  0.018280  0.006560
4000     0.000940  0.036720  0.072500  0.025630
6000     0.001500  0.082900  0.162500  0.057800
8000     0.001500  0.146900  0.290600  0.101600
10000    0.003100  0.229700  0.454700  0.157800
