quicksort recur random key (time in seconds)
n       random    constant  descending A-shaped
10       0.000001  0.000001  0.000001  0.000001
50       0.000005  0.000009  0.000005  0.000005
100      0.000013  0.000030  0.000011  0.000013
500      0.000093  0.000610  0.000062  0.000078
1000     0.000188  0.002359  0.000156  0.000156
2000     0.000310  0.009380  0.000310  0.000310
4000     0.000940  0.036880  0.000780  0.000780
6000     0.001500  0.081300  0.001600  0.001500
8000     0.001600  0.146900  0.001500  0.001600
10000    0.003100  0.229700  0.001600  0.003100
