quicksort recur right key (time in seconds)
n       random    constant  descending A-shaped
10       0.000001  0.000001  0.000001  0.000000
50       0.000005  0.000008  0.000014  0.000007
100      0.000011  0.000027  0.000050  0.000022
500      0.000078  0.000594  0.001172  0.000422
1000     0.000172  0.002328  0.004594  0.001672
2000     0.000310  0.009220  0.018280  0.006410
4000     0.000780  0.036720  0.072960  0.025470
6000     0.001600  0.082800  0.164100  0.056200
8000     0.001500  0.146900  0.290600  0.101600
10000    0.003100  0.228200  0.454600  0.157900
